--- Terminal on /dev/cu.usbmodem2101 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
15->16 dist=3
503737,0,83,24,493,21428,20,5188,2937,2.000000,21428
503738,0,69,26,536,21428,20,5188,3194,2.000000,21428
503739,0,75,28,577,21428,20,5188,3435,2.000000,21428
503740,0,67,30,617,21428,20,5188,3673,2.000000,21428
503741,0,72,32,655,21428,20,5188,3901,2.000000,21428
503742,0,75,34,696,21428,20,5188,4148,2.000000,21428
503743,0,75,36,737,21428,20,5188,4391,2.000000,21428
503744,0,66,38,777,21428,20,5188,4629,2.000000,21428
503745,0,69,40,816,21428,20,5188,4860,2.000000,21428
503746,0,70,42,857,21428,20,5188,5106,2.000000,21428
503747,0,78,44,897,21428,20,5188,5340,2.000000,21428
503748,0,65,46,938,21428,20,5188,5589,2.000000,21428
503749,0,71,48,977,21428,20,5188,5817,2.000000,21428
503750,0,66,50,1016,21428,20,5188,6052,2.000000,21428
503751,0,78,52,1055,21428,20,5188,6281,2.000000,21428
503752,0,79,54,1097,21428,20,5188,6531,2.000000,21428
503753,0,72,56,1137,21428,20,5188,6772,2.000000,21428
503754,0,65,58,1178,21428,20,5188,7016,2.000000,21428
503755,0,71,60,1219,21428,20,5188,7258,2.000000,21428
BOUNDARY_FLICKER: arm1 frame=503757 angle=1260 pat=6->7 dist=0
503756,0,123,63,1260,21428,20,5188,7505,2.000000,21428
503757,0,69,65,1308,21428,20,5188,7790,2.000000,21428
503758,0,66,67,1348,21428,20,5188,8027,2.000000,21428
503759,0,85,69,1386,21428,20,5188,8254,2.000000,21428
503760,0,75,71,1430,21428,20,5188,8514,2.000000,21428
503761,0,72,73,1470,21428,20,5188,8753,2.000000,21428
